"id","occupation"
310,"Nurse"
311,"Nurse"
312,"Nurse"
313,"Nurse"
314,"Nurse"
315,"Nurse"
316,"Clerk"
317,"Nurse"
318,"Nurse"
319,"Other"
320,"Physician"
321,"Nurse"
322,"Physician"
323,"Physician"
324,"Technologist"
325,"Nurse"
326,"Nurse"
327,"Nurse"
328,"Nurse"
329,"Nurse"
330,"Technologist"
331,"Technologist"
332,"Nurse"
333,"Nurse"
334,"Nurse"
335,"Nurse"
336,"Other"
337,"Other"
338,"Nurse"
339,"Nurse"
340,"Nurse"
341,"Technologist"
342,"Clerk"
343,"Nurse"
344,"Nurse"
345,"Nurse"
346,"Nurse"
347,"Nurse"
348,"Technologist"
349,"Physician"
350,"Nurse"
351,"Physician"
352,"Nurse"
353,"Nurse"
354,"Nurse"
355,"Technologist"
356,"Technologist"
357,"Nurse"
358,"Nurse"
359,"Nurse"
360,"Nurse"
361,"Nurse"
362,"Nurse"
363,"Nurse"
364,"Nurse"
365,"Other"
366,"Other"
367,"Physician"
368,"Nurse"
369,"Clerk"
370,"Other"
371,"Nurse"
372,"Technologist"
373,"Technologist"
374,"Nurse"
375,"Nurse"
376,"Nurse"
377,"Nurse"
378,"Nurse"
379,"Nurse"
380,"Physician"
381,"Physician"
382,"Nurse"
383,"Nurse"
384,"Other"
385,"Technologist"
386,"Nurse"
387,"Technologist"
388,"Physician"
389,"Nurse"
390,"Nurse"
391,"Other"
392,"Technologist"
393,"Physician"
394,"Nurse"
395,"Nurse"
396,"Nurse"
397,"Nurse"
398,"Nurse"
399,"Nurse"
400,"Nurse"
401,"Technologist"
402,"Nurse"
403,"Technologist"
404,"Nurse"
405,"Nurse"
406,"Other"
407,"Clerk"
408,"Nurse"
409,"Physician"
410,"Physician"
411,"Physician"
412,"Technologist"
413,"Clerk"
414,"Physician"
415,"Nurse"
416,"Clerk"
417,"Physician"
418,"Nurse"
419,"Other"
420,"Physician"
421,"Technologist"
422,"Physician"
423,"Nurse"
424,"Physician"
425,"Nurse"
426,"Nurse"
427,"Nurse"
428,"Other"
429,"Nurse"
430,"Nurse"
431,"Nurse"
432,"Clerk"
433,"Nurse"
434,"Clerk"
435,"Nurse"
436,"Nurse"
437,"Nurse"
438,"Nurse"
439,"Nurse"
440,"Nurse"
441,"Physician"
442,"Nurse"
443,"Nurse"
444,"Nurse"
445,"Physician"
446,"Physician"
447,"Other"
448,"Other"
449,"Other"
450,"Other"
451,"Nurse"
452,"Nurse"
453,"Nurse"
454,"Nurse"
455,"Nurse"
456,"Nurse"
457,"Physician"
458,"Technologist"
459,"Physician"
460,"Nurse"
461,"Nurse"
462,"Other"
463,"Other"
464,"Nurse"
465,"Clerk"
466,"Nurse"
467,"Nurse"
468,"Technologist"
469,"Nurse"
470,"Nurse"
471,"Nurse"
472,"Nurse"
473,"Nurse"
474,"Nurse"
475,"Nurse"
476,"Technologist"
477,"Nurse"
478,"Physician"
479,"Physician"
480,"Administration"
481,"Nurse"
482,"Technologist"
483,"Physician"
484,"Physician"
485,"Physician"
486,"Technologist"
487,"Physician"
488,"Other"
489,"Physician"
490,"Nurse"
491,"Nurse"
492,"Nurse"
493,"Nurse"
494,"Clerk"
495,"Other"
496,"Other"
497,"Clerk"
498,"Nurse"
499,"Nurse"
500,"Other"
501,"Other"
502,"Other"
503,"Nurse"
504,"Physician"
505,"Other"
506,"Other"
507,"Physician"
508,"Nurse"
509,"Other"
510,"Nurse"
511,"Nurse"
512,"Nurse"
513,"Physician"
514,"Nurse"
515,"Physician"
516,"Clerk"
517,"Nurse"
518,"Other"
519,"Nurse"
520,"Clerk"
521,"Clerk"
522,"Nurse"
523,"Nurse"
524,"Other"
525,"Nurse"
526,"Nurse"
527,"Other"
528,"Nurse"
529,"Nurse"
530,"Nurse"
531,"Nurse"
532,"Nurse"
533,"Clerk"
534,"Other"
535,"Nurse"
536,"Physician"
537,"Nurse"
538,"Nurse"
539,"Nurse"
540,"Other"
541,"Physician"
542,"Physician"
543,"Other"
544,"Physician"
545,"Nurse"
546,"Clerk"
547,"Nurse"
548,"Nurse"
549,"Other"
550,"Nurse"
551,"Nurse"
552,"Nurse"
553,"Nurse"
554,"Nurse"
555,"Nurse"
556,"Nurse"
557,"Nurse"
558,"Nurse"
559,"Nurse"
560,"Physician"
561,"Nurse"
562,"Physician"
563,"Other"
564,"Nurse"
565,"Nurse"
566,"Other"
567,"Other"
568,"Technologist"
